iter	Logloss
0	0.6862132233
1	0.6792640155
2	0.6726027891
3	0.6668521843
4	0.6600995632
5	0.6534860147
6	0.6465327565
7	0.6410741718
8	0.6339959814
9	0.6279399574
10	0.6212941337
11	0.6161039455
12	0.6108448061
13	0.6042202716
14	0.5996340107
15	0.5947671954
16	0.5893843794
17	0.584318292
18	0.5795205403
19	0.5755359989
20	0.5704033765
21	0.564999159
22	0.560446256
23	0.5555943456
24	0.5506380591
25	0.546593884
26	0.5427518592
27	0.539218292
28	0.5343648504
29	0.5304632597
30	0.5270445803
31	0.5229072809
32	0.5188918631
33	0.5148120647
34	0.511922765
35	0.5080985899
36	0.5052660954
37	0.5023293085
38	0.4995574977
39	0.4962142956
40	0.492608202
41	0.4890901833
42	0.4860556275
43	0.4838010761
44	0.4804720653
45	0.4773668628
46	0.4746234307
47	0.4720547264
48	0.4688270551
49	0.4667121143
50	0.4643129394
51	0.4618982974
52	0.458648265
53	0.4561378584
54	0.4534832111
55	0.4506496453
56	0.4476767277
57	0.4446797374
58	0.4424403861
59	0.4404755122
60	0.4377652556
61	0.4355326274
62	0.4329517723
63	0.4310442201
64	0.4290139204
65	0.427361788
66	0.4252051533
67	0.4232122759
68	0.4208799231
69	0.4189280746
70	0.416592784
71	0.4144036809
72	0.4127778517
73	0.4106978938
74	0.4090979608
75	0.4072960529
76	0.4055636359
77	0.4041162133
78	0.402362867
79	0.400660296
80	0.399684356
81	0.397837485
82	0.3959934598
83	0.3942067821
84	0.3921565362
85	0.39056321
86	0.3888903986
87	0.3876936129
88	0.3862631005
89	0.3843955149
90	0.3827513627
91	0.3808528554
92	0.3789534821
93	0.3773755835
94	0.3757918135
95	0.3740057679
96	0.3726299326
97	0.3708364302
98	0.3695625552
99	0.3682767139
100	0.3671014011
101	0.365184774
102	0.3634714215
103	0.362429849
104	0.3613706317
105	0.3598781695
106	0.3582109583
107	0.3569192055
108	0.3558399927
109	0.3543556948
110	0.3534130405
111	0.3518853649
112	0.3507076625
113	0.3493305514
114	0.3477366017
115	0.3465538115
116	0.3454324412
117	0.3439480392
118	0.3429875291
119	0.3416189617
120	0.3404737629
121	0.338901707
122	0.3378239328
123	0.336518462
124	0.3357399833
125	0.3349143739
126	0.3338076953
127	0.3326637596
128	0.3316305846
129	0.3305354679
130	0.3293595631
131	0.3281807337
132	0.3273602998
133	0.326350169
134	0.3252193021
135	0.3240230421
136	0.3230385284
137	0.322142368
138	0.3208836848
139	0.319903071
140	0.3188550528
141	0.3177055281
142	0.3167807316
143	0.315733648
144	0.314914354
145	0.3142677234
146	0.3133714189
147	0.3126656503
148	0.3112582868
149	0.3102340411
150	0.3092233454
151	0.3084395678
152	0.3076057757
153	0.306822707
154	0.3057167834
155	0.3048894522
156	0.3040488081
157	0.3035009392
158	0.3027228122
159	0.3019797604
160	0.3007992535
161	0.2999989751
162	0.2991845978
163	0.2985117355
164	0.29751037
165	0.2967252328
166	0.2956831907
167	0.2949104565
168	0.2941137273
169	0.2932176233
170	0.2921896695
171	0.2914042056
172	0.2906303447
173	0.2896643594
174	0.2887863653
175	0.2880701407
176	0.2871247209
177	0.2863021491
178	0.2856777667
179	0.2848504202
180	0.2842737282
181	0.2835006656
182	0.2826686482
183	0.2819614513
184	0.2813709437
185	0.2806257144
186	0.2799934691
187	0.2793604073
188	0.2786879178
189	0.2780163814
190	0.2773166295
191	0.2766503949
192	0.2760131484
193	0.2754401875
194	0.2747461781
195	0.2740097563
196	0.2733369614
197	0.2727294566
198	0.2721334659
199	0.2715018674
200	0.2707174511
201	0.2702147932
202	0.2694182811
203	0.2687394737
204	0.26807107
205	0.2671876554
206	0.2665342096
207	0.2656365876
