iter	Passed	Remaining
0	5	5042
1	10	5336
2	15	5074
3	19	4770
4	24	4899
5	29	4860
6	33	4798
7	38	4789
8	42	4702
9	47	4656
10	51	4644
11	55	4602
12	60	4574
13	64	4573
14	69	4588
15	76	4717
16	81	4699
17	86	4707
18	90	4693
19	95	4668
20	100	4692
21	107	4779
22	112	4774
23	118	4814
24	122	4796
25	131	4941
26	136	4926
27	142	4936
28	148	4956
29	154	4986
30	159	4999
31	165	5007
32	170	5009
33	176	5023
34	182	5020
35	187	5013
36	192	5019
37	196	4982
38	200	4948
39	205	4934
40	209	4899
41	213	4874
42	218	4853
43	222	4838
44	227	4829
45	232	4816
46	236	4799
47	241	4787
48	245	4758
49	249	4732
50	253	4723
51	258	4704
52	261	4679
53	284	4976
54	288	4951
55	292	4933
56	296	4910
57	300	4882
58	304	4861
59	309	4849
60	313	4824
61	317	4803
62	321	4787
63	325	4766
64	330	4758
65	335	4750
66	340	4738
67	346	4743
68	350	4729
69	354	4711
70	359	4704
71	363	4686
72	367	4671
73	373	4667
74	378	4662
75	382	4648
76	386	4636
77	391	4621
78	395	4615
79	401	4613
80	407	4624
81	412	4617
82	416	4598
83	421	4598
84	427	4598
85	431	4586
86	436	4580
87	440	4566
88	444	4552
89	449	4543
90	454	4536
91	459	4535
92	464	4532
93	468	4519
94	474	4522
95	479	4511
96	483	4501
97	494	4551
98	500	4554
99	505	4548
100	511	4549
101	516	4549
102	521	4540
103	527	4544
104	532	4534
105	537	4531
106	555	4636
107	559	4622
108	564	4616
109	569	4609
110	573	4596
111	578	4583
112	581	4567
113	586	4557
114	591	4551
115	595	4537
116	600	4532
117	606	4532
118	611	4524
119	616	4520
120	621	4511
121	626	4508
122	631	4505
123	635	4492
124	641	4489
125	645	4479
126	649	4466
127	654	4459
128	659	4451
129	664	4450
130	669	4442
131	674	4433
132	679	4428
133	683	4418
134	688	4408
135	692	4398
136	696	4386
137	700	4376
138	705	4371
139	709	4360
140	713	4347
141	719	4345
142	723	4338
143	729	4334
144	738	4355
145	743	4350
146	748	4342
147	752	4334
148	758	4331
149	763	4324
150	768	4322
151	775	4327
152	781	4325
153	785	4316
154	789	4305
155	794	4299
156	799	4290
157	803	4282
158	808	4276
159	813	4269
160	819	4271
161	825	4269
162	830	4263
163	834	4255
164	846	4282
165	850	4273
166	862	4303
167	866	4292
168	871	4286
169	876	4278
170	890	4318
171	894	4308
172	899	4297
173	903	4290
174	911	4295
175	917	4295
176	922	4291
177	927	4283
178	931	4273
179	936	4267
180	941	4259
181	945	4250
182	950	4242
183	954	4232
184	958	4223
185	963	4218
186	968	4212
187	974	4207
188	979	4201
189	984	4196
190	988	4187
191	992	4177
192	1011	4229
193	1015	4220
194	1019	4209
195	1024	4203
196	1029	4197
197	1042	4223
198	1048	4222
199	1055	4221
200	1062	4223
201	1067	4218
202	1071	4208
203	1077	4205
204	1082	4196
205	1086	4186
206	1090	4178
207	1096	4173
208	1102	4173
209	1107	4166
210	1112	4160
211	1117	4154
212	1122	4147
213	1128	4143
214	1132	4134
215	1137	4127
216	1147	4139
217	1156	4147
218	1166	4160
219	1172	4155
220	1176	4147
221	1182	4142
222	1187	4136
223	1193	4135
224	1209	4166
225	1214	4158
226	1219	4152
227	1223	4143
228	1227	4133
229	1239	4149
230	1246	4148
231	1250	4140
232	1256	4136
233	1260	4127
234	1264	4117
235	1270	4112
236	1275	4105
237	1279	4096
238	1284	4089
239	1288	4080
240	1293	4072
241	1297	4065
242	1302	4057
243	1307	4050
244	1312	4045
245	1317	4036
246	1322	4031
247	1327	4026
248	1332	4019
249	1337	4011
250	1342	4004
251	1349	4006
252	1354	3999
253	1360	3996
254	1365	3988
255	1369	3980
256	1375	3975
257	1379	3968
258	1384	3962
259	1389	3955
260	1394	3949
261	1399	3943
